Date,Hour,Season,Temperature(°C),Humidity(%),Dew Point(°C),Solar Radiation(MJ/m2),Residents,AC Usage(hours),Heater Usage(hours),Holiday,Functioning Day,Electricity Usage(kWh)
2022-01-02,10,Summer,32.2,62.7,30.0,4.5,4,8.5,2.3,No Holiday,Yes,61.9
2022-01-02,11,Spring,19.6,62.4,17.7,4.05,3,1.1,2.2,No Holiday,Yes,31.3
2022-01-02,12,Winter,28.3,58.4,25.7,3.85,2,5.3,4.0,No Holiday,Yes,50.7
2022-01-02,13,Spring,31.4,57.0,29.9,4.4,1,4.3,3.2,No Holiday,Yes,54.8
2022-01-02,14,Spring,27.4,58.4,25.1,4.74,5,3.9,2.8,Holiday,No,48.0
2022-01-02,15,Autumn,32.3,47.6,30.5,4.96,3,6.3,0.5,No Holiday,Yes,51.8
2022-01-02,16,Autumn,24.4,56.6,22.5,5.44,2,4.6,2.1,No Holiday,Yes,43.8
2022-01-02,17,Autumn,34.0,58.2,32.1,6.32,1,1.0,2.3,No Holiday,Yes,49.3
2022-01-02,18,Summer,38.5,53.3,36.9,5.42,4,1.8,1.6,No Holiday,Yes,44.2
2022-01-02,19,Winter,25.2,51.8,23.2,4.8,2,6.4,3.7,No Holiday,Yes,52.1
2022-01-02,20,Winter,24.8,57.4,22.8,4.85,2,1.7,2.1,No Holiday,Yes,39.0
2022-01-02,21,Winter,34.3,61.5,32.1,5.13,2,6.5,0.8,No Holiday,Yes,50.9
2022-01-02,22,Winter,34.9,59.5,32.9,4.74,4,5.2,1.0,No Holiday,Yes,57.7
2022-01-02,23,Autumn,24.4,57.4,22.0,4.43,5,4.7,4.3,No Holiday,Yes,40.1
2022-01-03,0,Summer,24.9,61.3,22.4,4.4,3,4.8,1.6,No Holiday,Yes,45.4
2022-01-03,1,Summer,25.6,55.9,24.1,4.34,5,6.0,0.0,No Holiday,Yes,46.9
2022-01-03,2,Autumn,20.3,52.1,17.8,4.25,1,2.6,1.4,No Holiday,Yes,33.3
2022-01-03,3,Summer,22.4,54.6,21.0,3.87,3,5.1,0.2,No Holiday,Yes,41.9
2022-01-03,4,Autumn,22.0,64.7,19.7,3.62,1,2.7,2.9,No Holiday,Yes,40.0
2022-01-03,5,Winter,23.2,57.0,20.9,4.37,4,5.3,0.0,No Holiday,Yes,45.1
2022-01-03,6,Autumn,26.8,56.0,25.8,4.88,5,6.3,0.6,No Holiday,Yes,58.3
2022-01-03,7,Winter,28.2,55.3,26.1,4.23,2,5.3,2.0,No Holiday,Yes,50.0
2022-01-03,8,Winter,34.8,62.2,33.0,5.94,3,6.2,3.1,No Holiday,Yes,59.8
2022-01-03,9,Spring,22.0,64.9,20.4,3.32,2,3.6,1.9,Holiday,No,38.0
2022-01-03,10,Autumn,31.9,64.3,29.2,4.9,1,4.9,0.7,No Holiday,Yes,50.3
2022-01-03,11,Spring,25.9,56.6,24.3,4.46,2,4.5,2.2,No Holiday,Yes,44.8
2022-01-03,12,Autumn,26.8,58.2,25.2,4.36,2,4.4,1.5,No Holiday,Yes,47.7
2022-01-03,13,Autumn,30.4,49.8,28.3,4.75,4,3.4,3.1,No Holiday,Yes,44.0
2022-01-03,14,Spring,21.4,64.5,19.0,5.07,4,4.1,2.9,No Holiday,Yes,39.7
2022-01-03,15,Spring,28.9,51.7,27.0,4.47,5,2.8,1.5,Holiday,No,47.0
2022-01-03,16,Autumn,27.8,57.5,25.2,6.0,1,1.6,2.8,No Holiday,Yes,43.2
2022-01-03,17,Summer,29.5,51.8,27.2,5.16,4,3.6,2.3,No Holiday,Yes,50.7
2022-01-03,18,Winter,28.4,54.1,27.5,4.89,4,6.3,3.4,Holiday,No,54.1
2022-01-03,19,Spring,39.3,49.9,37.5,6.17,5,5.5,2.7,No Holiday,Yes,60.5
2022-01-03,20,Winter,23.8,55.4,22.1,5.65,3,2.5,2.5,No Holiday,Yes,39.7
2022-01-03,21,Summer,24.3,55.5,22.1,3.94,5,4.2,3.3,No Holiday,Yes,45.0
2022-01-03,22,Summer,23.9,55.6,23.2,3.83,2,6.4,2.0,No Holiday,Yes,50.6
2022-01-03,23,Summer,24.2,61.1,20.9,4.04,2,4.1,1.2,No Holiday,Yes,42.0
2022-01-04,0,Spring,23.8,53.4,21.5,4.4,4,2.2,2.2,No Holiday,Yes,42.9
2022-01-04,1,Summer,32.9,56.0,30.9,4.43,4,9.5,1.6,No Holiday,Yes,60.3
2022-01-04,2,Spring,34.1,59.6,31.5,5.42,5,4.7,2.6,Holiday,No,50.0
2022-01-04,3,Summer,24.1,55.7,21.0,5.26,5,2.7,2.1,Holiday,No,36.7
2022-01-04,4,Winter,22.8,55.3,20.4,4.36,1,5.3,2.4,No Holiday,Yes,44.8
2022-01-04,5,Winter,29.4,55.3,26.9,4.79,2,4.8,0.8,Holiday,No,49.8
2022-01-04,6,Autumn,24.2,62.4,22.2,4.11,5,1.9,2.5,No Holiday,Yes,38.1
2022-01-04,7,Winter,30.2,56.7,28.2,5.47,3,5.2,0.7,No Holiday,Yes,50.6
2022-01-04,8,Autumn,28.0,54.5,26.3,4.39,1,7.0,3.0,Holiday,No,53.8
2022-01-04,9,Winter,19.4,61.1,17.8,4.87,5,4.5,3.0,No Holiday,Yes,43.9
2022-01-04,10,Spring,34.7,50.2,33.1,6.44,4,0.9,2.3,Holiday,No,44.7
2022-01-04,11,Winter,36.0,56.9,34.7,5.73,5,5.7,2.3,No Holiday,Yes,57.0
2022-01-04,12,Autumn,23.9,59.5,22.0,4.39,4,6.2,1.8,No Holiday,Yes,50.0
2022-01-04,13,Autumn,25.1,56.3,23.9,5.02,4,3.8,1.4,No Holiday,Yes,42.6
2022-01-04,14,Summer,28.4,53.1,26.3,5.39,2,3.8,2.0,Holiday,No,44.5
2022-01-04,15,Spring,28.7,52.9,26.7,4.46,2,9.5,4.0,No Holiday,Yes,55.1
2022-01-04,16,Winter,30.3,58.1,28.2,4.77,5,3.7,2.2,Holiday,No,49.5
2022-01-04,17,Summer,37.1,58.8,35.3,5.04,5,2.8,0.7,No Holiday,Yes,46.8
2022-01-04,18,Winter,26.1,54.6,22.6,4.82,3,5.1,0.3,No Holiday,Yes,42.6
2022-01-04,19,Winter,23.0,59.9,20.3,4.63,1,6.1,0.6,No Holiday,Yes,41.3
2022-01-04,20,Summer,20.1,50.6,18.7,3.34,1,6.1,1.6,No Holiday,Yes,42.5
2022-01-04,21,Summer,23.3,55.7,21.2,4.11,5,0.1,3.3,No Holiday,Yes,42.8
2022-01-04,22,Summer,26.8,56.8,25.1,4.01,2,3.7,1.0,Holiday,No,44.2
2022-01-04,23,Summer,36.0,50.6,34.5,5.15,3,7.3,3.4,No Holiday,Yes,59.1
2022-01-05,0,Summer,24.4,53.9,23.1,4.72,1,5.7,2.2,No Holiday,Yes,45.4
2022-01-05,1,Winter,28.1,53.9,25.9,4.45,5,2.5,2.5,Holiday,No,39.7
2022-01-05,2,Summer,26.9,58.1,25.3,4.54,2,7.5,2.5,No Holiday,Yes,49.7
2022-01-05,3,Spring,32.9,54.4,30.5,4.48,2,6.9,2.6,No Holiday,Yes,52.9
2022-01-05,4,Autumn,39.6,44.2,37.1,6.06,2,4.4,1.6,No Holiday,Yes,55.9
2022-01-05,5,Summer,24.3,49.2,21.7,4.41,4,6.8,0.0,No Holiday,Yes,46.8
2022-01-05,6,Summer,24.6,55.2,23.0,4.09,2,9.0,1.4,No Holiday,Yes,52.8
2022-01-05,7,Winter,32.2,57.2,30.0,5.13,5,2.9,1.1,No Holiday,Yes,47.2
2022-01-05,8,Summer,30.4,44.9,28.1,5.13,3,6.1,2.3,No Holiday,Yes,50.0
2022-01-05,9,Summer,36.2,52.1,34.5,5.22,5,9.0,2.2,No Holiday,Yes,59.4
2022-01-05,10,Summer,29.9,53.9,28.3,4.25,2,6.3,1.7,No Holiday,Yes,48.4
2022-01-05,11,Winter,25.2,63.0,22.4,5.42,3,3.5,3.8,No Holiday,Yes,42.3
2022-01-05,12,Summer,30.0,54.5,27.8,4.68,1,5.5,1.4,No Holiday,Yes,50.8
2022-01-05,13,Autumn,32.5,56.8,30.2,5.21,1,7.7,0.0,No Holiday,Yes,60.4
2022-01-05,14,Winter,31.1,56.2,29.5,5.62,5,3.0,2.1,No Holiday,Yes,43.7
2022-01-05,15,Autumn,29.5,47.6,28.1,6.72,3,4.9,3.2,No Holiday,Yes,49.6
2022-01-05,16,Winter,32.3,58.4,30.6,4.61,5,4.5,2.3,No Holiday,Yes,51.9
2022-01-05,17,Summer,32.8,56.0,30.9,5.51,3,3.7,1.6,No Holiday,Yes,48.2
2022-01-05,18,Autumn,33.9,56.9,32.4,5.04,3,5.5,2.2,Holiday,No,55.3
2022-01-05,19,Winter,30.2,71.6,28.2,4.75,5,4.8,3.8,No Holiday,Yes,51.4
2022-01-05,20,Spring,26.2,48.8,25.0,4.26,3,6.3,1.1,No Holiday,Yes,45.6
2022-01-05,21,Summer,27.7,63.6,26.3,4.21,2,7.3,2.0,No Holiday,Yes,52.4
2022-01-05,22,Winter,33.0,53.9,30.7,5.28,3,2.5,2.7,No Holiday,Yes,49.0
2022-01-05,23,Spring,22.9,59.3,20.6,3.55,3,5.1,2.3,No Holiday,Yes,48.8
2022-01-06,0,Winter,28.8,56.2,27.0,5.36,5,4.9,1.8,No Holiday,Yes,49.4
2022-01-06,1,Spring,25.0,55.8,23.5,4.53,1,5.4,1.6,No Holiday,Yes,45.2
2022-01-06,2,Summer,27.1,54.6,25.7,4.93,4,5.0,1.7,No Holiday,Yes,49.4
2022-01-06,3,Autumn,33.4,56.3,31.6,5.11,3,3.0,2.5,No Holiday,Yes,52.4
2022-01-06,4,Spring,28.0,50.5,25.6,4.61,4,7.9,2.5,Holiday,No,53.5
2022-01-06,5,Winter,27.2,59.8,24.8,4.87,3,8.8,4.1,No Holiday,Yes,58.0
2022-01-06,6,Summer,20.2,57.3,18.4,3.44,5,6.1,0.5,No Holiday,Yes,40.6
2022-01-06,7,Spring,30.7,51.3,29.3,4.89,5,6.2,3.8,No Holiday,Yes,57.6
2022-01-06,8,Winter,30.2,54.1,28.1,4.59,3,5.3,1.8,No Holiday,Yes,50.3
2022-01-06,9,Winter,37.8,58.7,36.2,5.34,5,6.9,1.9,No Holiday,Yes,55.7
2022-01-06,10,Winter,25.5,55.2,23.7,3.49,5,0.1,2.9,No Holiday,Yes,38.9
2022-01-06,11,Spring,28.1,58.0,25.4,5.48,3,5.0,2.9,No Holiday,Yes,54.1
2022-01-06,12,Spring,28.2,53.6,25.8,4.48,1,3.9,3.2,No Holiday,Yes,52.4
2022-01-06,13,Spring,34.9,57.6,32.8,6.07,3,5.3,3.4,No Holiday,Yes,55.0
2022-01-06,14,Autumn,26.5,59.8,25.2,5.19,1,7.2,2.0,No Holiday,Yes,49.4
2022-01-06,15,Spring,28.4,63.9,26.3,4.2,5,5.0,3.4,No Holiday,Yes,56.8
2022-01-06,16,Spring,30.0,55.3,27.5,4.46,1,4.3,1.4,No Holiday,Yes,52.1
2022-01-06,17,Spring,27.9,59.3,26.1,6.07,5,2.2,1.7,No Holiday,Yes,43.6
2022-01-06,18,Autumn,24.8,58.0,22.1,5.35,1,4.8,1.8,No Holiday,Yes,39.9
2022-01-06,19,Spring,28.0,61.8,25.3,4.78,1,6.3,1.5,No Holiday,Yes,48.5
2022-01-06,20,Winter,32.4,52.4,29.5,5.37,3,3.3,2.1,No Holiday,Yes,45.0
2022-01-06,21,Spring,21.9,61.4,19.7,3.87,1,1.0,2.9,No Holiday,Yes,42.3
2022-01-06,22,Winter,27.7,55.9,25.4,4.98,5,9.5,2.7,No Holiday,Yes,53.4
2022-01-06,23,Winter,23.5,57.7,20.8,3.99,3,5.7,1.4,No Holiday,Yes,50.5
2022-01-07,0,Winter,33.0,55.5,30.8,4.28,1,4.6,1.3,No Holiday,Yes,49.9
2022-01-07,1,Autumn,19.4,60.2,17.6,3.28,3,7.8,1.1,No Holiday,Yes,42.2
2022-01-07,2,Autumn,24.2,57.3,22.4,4.43,4,5.3,2.1,No Holiday,Yes,48.9
2022-01-07,3,Autumn,28.9,57.2,26.8,4.32,3,7.7,0.4,No Holiday,Yes,53.8
2022-01-07,4,Spring,34.8,60.9,33.5,5.45,4,7.5,1.1,Holiday,No,53.8
2022-01-07,5,Winter,26.7,60.9,24.7,4.13,4,2.5,1.5,No Holiday,Yes,41.5
2022-01-07,6,Autumn,24.2,61.2,21.7,4.03,3,5.9,3.1,No Holiday,Yes,53.0
2022-01-07,7,Autumn,36.4,52.3,35.5,6.07,5,8.5,1.9,No Holiday,Yes,60.2
2022-01-07,8,Spring,19.8,55.5,17.0,4.1,5,3.0,3.0,Holiday,No,44.1
2022-01-07,9,Autumn,16.0,64.0,13.4,3.6,5,3.0,2.2,Holiday,No,33.1
2022-01-07,10,Spring,29.2,59.7,27.4,5.36,2,3.4,1.5,No Holiday,Yes,40.5
2022-01-07,11,Summer,24.5,63.5,22.2,4.69,4,6.8,1.6,Holiday,No,48.8
2022-01-07,12,Autumn,21.9,56.0,19.9,4.91,3,5.6,0.8,No Holiday,Yes,38.3
2022-01-07,13,Summer,30.5,54.9,27.9,4.82,5,1.1,4.4,No Holiday,Yes,46.4
2022-01-07,14,Spring,28.2,50.0,25.7,4.61,5,5.7,3.1,No Holiday,Yes,51.1
2022-01-07,15,Winter,24.2,56.2,22.9,3.77,3,4.5,2.6,Holiday,No,42.8
2022-01-07,16,Autumn,20.6,62.8,18.3,3.85,4,4.8,0.7,No Holiday,Yes,45.9
2022-01-07,17,Spring,31.4,53.7,29.5,5.62,3,3.3,1.5,No Holiday,Yes,46.7
2022-01-07,18,Winter,30.3,58.5,28.2,5.68,2,5.7,1.0,No Holiday,Yes,52.6
2022-01-07,19,Winter,26.5,56.3,24.9,5.13,2,7.1,2.1,No Holiday,Yes,54.2
2022-01-07,20,Summer,36.2,55.4,33.4,4.73,3,3.7,1.1,No Holiday,Yes,56.1
2022-01-07,21,Spring,21.6,53.9,19.1,4.71,4,1.6,1.3,Holiday,No,31.7
2022-01-07,22,Winter,19.4,59.5,17.7,3.02,5,4.4,1.1,No Holiday,Yes,33.6
2022-01-07,23,Autumn,23.5,46.0,22.2,4.8,2,6.5,1.8,No Holiday,Yes,52.0
2022-01-08,0,Autumn,26.8,56.2,25.0,4.49,2,4.2,2.1,No Holiday,Yes,47.4
2022-01-08,1,Summer,28.2,50.0,26.0,5.17,4,2.0,1.8,No Holiday,Yes,42.1
2022-01-08,2,Winter,25.8,62.1,23.7,3.91,2,6.5,3.5,No Holiday,Yes,51.7
2022-01-08,3,Spring,28.8,59.5,26.1,5.46,2,7.8,2.8,No Holiday,Yes,54.9
2022-01-08,4,Autumn,20.7,60.6,18.3,3.34,4,5.0,1.2,No Holiday,Yes,44.1
2022-01-08,5,Winter,34.2,60.8,31.7,5.09,3,1.8,2.3,No Holiday,Yes,43.1
2022-01-08,6,Winter,26.6,53.2,24.4,4.16,5,4.4,1.3,No Holiday,Yes,46.0
2022-01-08,7,Summer,32.6,62.2,31.3,4.38,5,5.3,1.6,No Holiday,Yes,55.3
2022-01-08,8,Autumn,28.7,60.1,26.8,4.92,2,3.4,2.5,No Holiday,Yes,48.7
2022-01-08,9,Autumn,29.3,55.3,26.8,5.83,5,6.2,2.7,No Holiday,Yes,52.3
2022-01-08,10,Spring,29.8,60.6,27.9,6.32,3,3.2,1.4,No Holiday,Yes,45.4
2022-01-08,11,Autumn,29.2,51.8,27.0,4.97,2,5.1,0.9,Holiday,No,51.3
2022-01-08,12,Spring,30.2,52.6,28.4,5.58,5,4.5,2.1,No Holiday,Yes,50.8
2022-01-08,13,Autumn,33.6,52.5,32.2,5.48,1,6.2,2.4,No Holiday,Yes,60.9
2022-01-08,14,Summer,28.0,54.5,26.0,5.05,1,5.0,1.4,No Holiday,Yes,41.9
2022-01-08,15,Autumn,30.5,51.6,28.4,4.88,1,4.6,2.8,Holiday,No,53.2
2022-01-08,16,Spring,26.6,61.9,24.9,4.75,1,3.4,2.6,No Holiday,Yes,42.7
2022-01-08,17,Spring,34.2,53.7,32.3,5.69,1,5.1,1.3,No Holiday,Yes,52.0
2022-01-08,18,Summer,23.6,59.3,22.1,4.07,2,4.5,3.1,No Holiday,Yes,49.6
2022-01-08,19,Autumn,36.0,51.9,33.4,5.56,4,3.3,3.2,No Holiday,Yes,49.7
2022-01-08,20,Autumn,26.8,49.7,24.9,4.65,4,5.3,4.1,No Holiday,Yes,57.0
2022-01-08,21,Summer,19.8,60.1,17.1,4.4,2,5.7,3.7,No Holiday,Yes,49.2
2022-01-08,22,Autumn,27.6,49.1,24.9,4.23,2,4.3,1.1,No Holiday,Yes,46.6
2022-01-08,23,Autumn,23.6,57.6,21.6,4.33,3,6.9,2.9,No Holiday,Yes,47.1
2022-01-09,0,Spring,31.2,50.2,29.7,6.08,4,5.5,2.9,No Holiday,Yes,52.3
2022-01-09,1,Autumn,23.7,65.8,22.8,4.96,1,2.4,1.7,No Holiday,Yes,38.5
2022-01-09,2,Autumn,24.8,61.2,23.5,5.15,2,7.7,2.5,Holiday,No,48.2
2022-01-09,3,Summer,17.6,60.2,16.2,3.77,1,6.5,0.1,No Holiday,Yes,43.6
2022-01-09,4,Summer,24.7,62.6,22.0,4.63,4,7.0,0.1,No Holiday,Yes,45.9
2022-01-09,5,Winter,14.9,57.2,12.8,3.99,5,5.8,0.3,Holiday,No,36.3
2022-01-09,6,Spring,19.1,61.4,16.9,4.69,5,0.3,2.4,No Holiday,Yes,32.2
2022-01-09,7,Autumn,30.8,56.6,29.9,4.1,2,7.2,2.4,No Holiday,Yes,54.9
2022-01-09,8,Autumn,30.9,56.8,29.5,4.44,3,5.1,1.7,No Holiday,Yes,52.0
2022-01-09,9,Winter,29.1,61.4,26.7,5.57,1,5.7,3.7,Holiday,No,51.5
2022-01-09,10,Autumn,22.2,61.3,20.0,4.08,2,6.1,3.0,No Holiday,Yes,50.5
2022-01-09,11,Spring,26.8,58.1,24.8,4.34,3,8.9,0.4,No Holiday,Yes,50.9
2022-01-09,12,Winter,27.0,50.3,24.7,4.07,1,3.9,1.8,Holiday,No,44.6
2022-01-09,13,Spring,21.2,54.8,18.4,3.84,4,4.0,1.1,Holiday,No,35.3
2022-01-09,14,Winter,34.5,54.2,32.6,4.75,5,3.3,2.4,No Holiday,Yes,53.8
2022-01-09,15,Winter,31.4,56.0,29.4,6.18,3,2.9,2.0,Holiday,No,50.6
2022-01-09,16,Summer,25.9,52.7,23.8,4.58,1,2.9,1.1,Holiday,No,43.0
2022-01-09,17,Spring,27.1,66.5,23.9,4.68,2,1.3,3.7,No Holiday,Yes,43.7
2022-01-09,18,Autumn,28.0,62.7,27.1,5.1,1,5.9,2.1,No Holiday,Yes,50.3
2022-01-09,19,Autumn,16.8,62.4,14.4,4.16,2,9.0,1.6,Holiday,No,42.2
2022-01-09,20,Spring,25.8,57.6,23.8,5.05,5,9.1,1.7,No Holiday,Yes,50.3
2022-01-09,21,Autumn,23.6,57.1,21.3,4.9,5,3.3,3.6,No Holiday,Yes,46.0
2022-01-09,22,Autumn,22.0,54.6,20.3,3.88,1,4.5,2.9,Holiday,No,43.1
2022-01-09,23,Spring,25.6,57.6,23.6,4.41,1,7.5,1.8,No Holiday,Yes,47.0
2022-01-10,0,Winter,36.0,55.2,33.6,5.98,2,5.9,1.0,Holiday,No,50.6
2022-01-10,1,Spring,30.2,51.0,26.6,4.76,2,5.3,1.2,Holiday,No,50.9
2022-01-10,2,Winter,24.1,59.1,21.7,4.41,3,4.5,1.5,No Holiday,Yes,46.1
2022-01-10,3,Autumn,29.9,55.4,28.3,5.19,3,7.4,2.5,No Holiday,Yes,50.5
2022-01-10,4,Autumn,34.0,47.2,32.2,5.79,3,2.9,2.8,Holiday,No,49.9
2022-01-10,5,Autumn,31.6,52.1,29.8,4.27,1,6.0,1.3,No Holiday,Yes,52.9
2022-01-10,6,Summer,27.3,55.2,26.2,5.09,3,5.7,2.8,No Holiday,Yes,48.4
2022-01-10,7,Winter,23.8,65.4,21.9,4.26,1,5.1,1.1,No Holiday,Yes,47.8
2022-01-10,8,Summer,30.5,58.1,28.1,5.4,5,6.6,1.4,No Holiday,Yes,51.5
2022-01-10,9,Summer,29.0,51.0,27.6,5.29,4,5.1,0.6,No Holiday,Yes,41.5
2022-01-10,10,Spring,31.5,57.5,29.0,5.95,5,3.9,0.5,No Holiday,Yes,46.1
2022-01-10,11,Summer,30.2,49.8,27.9,5.69,1,5.2,1.1,No Holiday,Yes,52.7
2022-01-10,12,Spring,32.2,59.7,30.6,5.9,1,1.8,2.0,No Holiday,Yes,44.3
2022-01-10,13,Spring,24.3,55.8,22.4,5.15,4,6.2,1.0,No Holiday,Yes,43.1
2022-01-10,14,Summer,33.6,54.5,30.8,5.5,2,6.7,3.5,Holiday,No,60.2
2022-01-10,15,Winter,28.0,61.9,25.6,4.81,2,3.7,1.1,No Holiday,Yes,45.2
2022-01-10,16,Winter,37.4,48.6,35.4,6.17,2,3.2,2.2,No Holiday,Yes,52.0
2022-01-10,17,Winter,23.6,52.3,21.7,4.72,3,3.8,3.3,No Holiday,Yes,45.4
2022-01-10,18,Winter,35.7,52.0,33.6,5.41,2,4.9,2.1,No Holiday,Yes,52.0
2022-01-10,19,Winter,28.0,60.8,26.2,5.0,3,5.4,1.6,No Holiday,Yes,46.9
2022-01-10,20,Summer,23.7,51.8,22.8,4.36,3,8.2,2.1,No Holiday,Yes,53.4
2022-01-10,21,Summer,24.6,46.3,21.6,4.03,2,8.0,1.4,No Holiday,Yes,47.2
2022-01-10,22,Autumn,25.4,55.6,23.3,5.19,2,6.7,1.0,No Holiday,Yes,52.8
2022-01-10,23,Winter,29.1,58.5,26.9,4.94,4,5.2,2.6,No Holiday,Yes,54.3
2022-01-11,0,Summer,29.6,60.9,27.6,5.99,4,3.1,1.4,No Holiday,Yes,41.7
2022-01-11,1,Autumn,24.1,55.9,22.5,3.6,3,8.4,2.9,No Holiday,Yes,57.7
2022-01-11,2,Winter,26.9,55.3,25.0,4.41,4,4.5,2.8,No Holiday,Yes,47.9
2022-01-11,3,Spring,37.7,58.3,36.5,5.79,3,5.6,2.2,No Holiday,Yes,61.6
2022-01-11,4,Autumn,35.6,46.8,32.5,6.13,1,6.3,3.0,No Holiday,Yes,58.2
2022-01-11,5,Summer,29.2,54.7,27.8,5.12,3,5.1,1.5,No Holiday,Yes,48.0
2022-01-11,6,Spring,27.2,57.6,25.7,4.87,3,7.3,2.8,No Holiday,Yes,52.6
2022-01-11,7,Spring,27.6,58.5,25.8,4.2,4,5.9,2.8,No Holiday,Yes,43.6
2022-01-11,8,Spring,30.1,53.9,27.4,4.43,1,7.0,1.7,No Holiday,Yes,56.0
2022-01-11,9,Autumn,21.9,58.6,19.9,4.35,5,5.9,1.6,Holiday,No,42.5
2022-01-11,10,Summer,25.7,47.3,24.3,3.89,5,4.9,2.3,No Holiday,Yes,49.2
2022-01-11,11,Spring,18.7,56.8,16.0,3.6,5,5.1,4.0,No Holiday,Yes,49.0
2022-01-11,12,Winter,29.0,58.1,26.6,5.15,1,4.9,1.8,No Holiday,Yes,46.8
2022-01-11,13,Spring,30.2,52.0,28.0,4.53,2,2.4,1.5,No Holiday,Yes,42.1
2022-01-11,14,Spring,24.6,57.9,22.2,5.26,1,3.0,3.2,No Holiday,Yes,46.3
2022-01-11,15,Autumn,34.9,56.3,31.7,6.1,4,6.5,2.1,No Holiday,Yes,55.4
2022-01-11,16,Autumn,20.9,57.4,17.8,3.3,3,2.5,2.9,No Holiday,Yes,42.8
2022-01-11,17,Summer,19.7,59.8,18.0,3.5,3,4.2,3.5,No Holiday,Yes,40.3
2022-01-11,18,Winter,28.1,52.7,25.3,3.67,4,2.9,0.1,Holiday,No,45.4
2022-01-11,19,Autumn,32.2,54.5,30.0,4.83,4,4.1,2.0,No Holiday,Yes,48.7
2022-01-11,20,Spring,35.4,56.8,33.2,5.93,3,4.7,1.8,No Holiday,Yes,54.2
