Unnamed: 0,age,gender,study_hours,attendance,extracurricular,parental_education,region,score
1476,18,female,1.2,51,yes,high school,north,15.93
3101,18,male,1.0,94,yes,master,west,6.63
1239,15,female,0.3,57,no,bachelor,south,10.27
2499,18,female,1.0,86,no,high school,south,2.88
3238,18,male,1.4,50,no,high school,north,15.58
3168,18,female,0.6,59,yes,high school,east,4.88
1140,15,male,1.2,93,yes,bachelor,east,17.74
1828,16,female,2.7,66,yes,none,south,0.0
2512,17,male,4.7,56,no,none,south,0.0
2221,16,female,9.5,89,no,none,east,19.85
3179,15,female,4.4,93,yes,none,east,16.31
1309,17,female,8.6,87,no,none,east,16.54
4206,16,male,1.1,93,no,none,north,27.79
3956,18,male,7.0,68,no,high school,east,19.65
806,15,female,0.6,67,yes,none,east,0.0
566,15,male,5.0,57,no,bachelor,north,44.48
1984,16,male,6.2,89,yes,high school,west,64.2
2749,15,female,4.3,57,no,high school,south,3.5
1614,17,female,2.3,80,yes,high school,east,4.93
3639,18,female,2.0,95,no,none,south,7.67
748,15,male,1.4,96,yes,high school,east,13.66
90,18,male,0.2,87,no,high school,west,0.48
369,18,female,0.8,68,yes,master,east,9.38
2321,17,male,3.0,65,no,none,south,0.0
2254,18,female,9.5,82,yes,none,south,25.86
1741,17,female,3.5,90,no,none,south,0.0
3676,17,male,3.0,97,yes,master,west,13.06
1440,17,female,0.4,86,yes,high school,south,0.0
3283,17,female,5.0,88,no,none,south,0.95
3593,18,female,1.2,87,no,none,south,0.0
1018,18,female,4.5,53,yes,high school,south,35.82
2319,15,male,4.6,90,yes,bachelor,south,21.11
852,15,female,1.2,88,yes,bachelor,north,18.91
3017,15,female,4.5,69,yes,master,south,16.27
3463,15,female,0.6,55,no,high school,east,1.58
4000,16,female,4.5,93,yes,none,south,8.86
3307,15,male,0.7,60,no,high school,west,0.0
4107,15,female,1.7,99,yes,high school,north,13.89
1423,16,female,1.8,80,no,high school,west,7.76
3522,15,female,1.3,51,yes,none,east,0.0
2476,15,female,2.8,67,no,bachelor,east,8.47
3673,18,male,0.4,82,no,none,south,0.0
3301,15,male,1.5,87,yes,master,east,19.19
3299,16,male,3.7,69,no,none,east,0.0
1654,16,male,1.2,64,yes,high school,north,9.11
4146,18,female,2.4,92,yes,none,east,0.0
586,15,female,1.4,81,yes,master,east,40.38
4072,15,female,4.9,53,no,high school,east,22.12
2208,15,female,1.7,83,no,none,east,1.68
1135,16,female,1.9,97,yes,bachelor,north,13.42
1059,17,male,0.7,83,no,high school,south,0.55
4226,16,male,1.4,84,no,high school,west,10.36
3012,18,female,1.5,64,no,bachelor,east,17.93
1529,17,female,4.6,60,yes,high school,east,6.53
631,18,female,2.5,89,yes,bachelor,west,46.38
3597,17,female,4.8,91,yes,none,south,1.77
575,17,male,6.1,53,no,high school,south,33.19
360,17,male,3.0,52,yes,bachelor,south,22.57
3597,17,female,4.8,91,yes,none,south,1.77
3443,16,female,2.5,57,yes,master,east,17.11
2423,16,female,1.6,87,yes,none,west,0.0
2038,17,female,1.6,69,yes,bachelor,east,6.52
3356,15,female,0.4,59,yes,none,south,0.0
2124,18,female,2.6,64,no,high school,west,8.36
592,17,male,3.4,93,yes,bachelor,east,18.77
3224,17,male,2.2,97,yes,high school,south,7.09
3305,17,male,0.7,87,yes,high school,south,0.0
3575,16,female,1.3,81,no,high school,south,0.0
564,15,male,1.4,88,yes,none,south,0.0
776,18,male,0.5,83,yes,bachelor,north,14.65
1964,16,female,5.0,86,no,bachelor,east,10.7
3603,17,female,0.4,86,yes,master,north,19.27
1468,15,male,3.2,86,yes,none,south,5.11
228,18,male,0.3,69,no,high school,south,1.99
901,18,male,4.6,59,no,none,south,0.0
4006,18,female,1.6,53,no,none,east,0.0
392,17,male,1.3,60,no,high school,east,4.27
4061,15,female,0.9,95,yes,none,south,0.0
1468,15,male,3.2,86,yes,none,south,5.11
3116,17,male,1.0,58,yes,high school,south,0.99
273,17,male,1.0,95,yes,master,east,24.85
2087,15,male,1.4,94,yes,none,west,6.33
1386,15,male,1.5,97,yes,high school,south,5.16
3634,18,male,4.0,99,yes,high school,north,19.37
160,17,male,1.6,84,yes,high school,south,4.23
3023,17,female,0.9,65,yes,high school,south,5.54
3802,15,female,1.4,85,no,none,east,6.94
3281,18,female,1.2,89,yes,none,east,6.46
696,18,female,3.2,63,no,high school,west,12.23
1654,16,male,1.2,64,yes,high school,north,9.11
510,16,female,1.0,87,yes,high school,south,3.84
839,17,female,1.4,97,no,none,south,0.35
2217,16,female,2.6,55,no,none,east,0.0
2029,16,male,1.7,62,yes,none,south,0.0
869,16,female,6.7,82,no,none,north,12.56
2540,15,female,1.7,69,no,high school,north,7.56
3314,15,male,1.7,87,yes,high school,south,5.92
1909,15,male,2.2,91,yes,none,south,2.61
572,18,female,0.6,99,no,master,south,11.47
57,15,male,10.0,98,yes,none,south,59.89
472,15,female,1.7,81,yes,bachelor,south,3.61
2699,16,female,0.7,69,no,high school,south,4.51
4064,17,female,0.5,86,yes,none,south,0.0
2469,17,female,1.9,63,no,none,east,0.0
1578,17,female,0.3,89,yes,high school,east,3.97
3499,15,female,0.9,97,yes,none,south,0.0
1354,17,male,0.5,91,no,bachelor,south,0.0
3094,18,female,3.6,81,yes,none,east,42.04
3522,15,female,1.3,51,yes,none,east,0.0
3837,16,female,7.8,82,yes,bachelor,south,28.96
1210,18,female,2.7,67,yes,master,west,23.2
2485,16,male,4.5,69,no,bachelor,south,13.92
4070,16,female,1.3,80,yes,none,north,3.98
3923,16,female,1.0,94,yes,high school,south,26.35
2608,16,female,2.1,61,yes,master,south,16.26
4182,15,female,0.3,66,yes,none,south,0.0
3087,16,male,9.8,54,no,bachelor,south,23.67
3506,16,male,0.9,85,no,high school,east,22.87
3961,16,female,1.4,57,yes,none,east,0.0
1388,17,male,1.8,92,yes,high school,north,10.6
3916,15,male,1.8,56,yes,bachelor,east,7.32
1397,15,female,1.4,58,no,none,west,0.0
253,17,male,0.6,65,yes,none,north,2.52
1514,17,male,6.1,58,no,none,east,0.0
1440,17,female,0.4,86,yes,high school,south,0.0
1476,18,female,1.2,51,yes,high school,north,15.93
2180,18,female,0.6,97,no,none,south,0.0
626,17,male,1.6,88,no,high school,west,7.41
2705,17,male,4.3,59,no,high school,east,11.24
3435,16,female,1.3,59,yes,bachelor,north,8.05
2349,17,female,6.7,82,no,high school,east,16.54
825,16,female,1.0,83,no,high school,east,7.78
2315,17,male,1.2,51,no,master,south,28.5
548,18,female,4.3,94,yes,high school,south,31.04
2178,17,male,0.2,63,no,master,east,5.74
650,16,female,0.9,98,no,none,south,0.0
2332,16,female,0.2,80,no,bachelor,south,1.86
3127,18,male,0.2,51,yes,high school,east,4.74
3837,16,female,7.8,82,yes,bachelor,south,28.96
3938,15,female,3.3,94,yes,high school,west,17.66
3395,18,male,1.0,91,yes,high school,south,0.0
1084,16,male,3.5,87,yes,bachelor,north,16.0
1970,17,male,6.7,69,no,none,east,8.62
2530,17,female,1.2,85,no,master,south,19.95
940,17,female,2.9,57,yes,bachelor,north,41.95
3902,17,male,1.7,66,yes,high school,east,0.0
3764,17,female,1.0,81,no,none,south,0.0
1784,16,male,2.0,84,no,none,south,0.0
3305,17,male,0.7,87,yes,high school,south,0.0
2840,17,female,4.4,55,yes,none,west,4.98
704,17,male,10.0,90,no,high school,south,53.09
3845,18,female,1.1,55,yes,high school,south,0.0
1941,18,male,6.7,68,yes,high school,north,19.73
3889,15,male,1.3,82,yes,none,south,0.0
4017,15,male,4.8,80,yes,master,south,34.76
2510,15,male,0.7,54,yes,high school,north,22.43
3873,18,male,1.5,91,no,high school,east,6.23
2987,17,female,1.8,83,no,none,east,6.06
1911,15,male,2.7,64,yes,high school,south,5.78
1996,18,male,1.9,67,yes,none,west,7.78
667,15,female,0.1,90,yes,high school,east,11.85
2767,17,female,0.3,81,no,master,south,2.17
665,17,female,4.9,58,no,none,south,0.0
754,18,male,8.7,97,no,high school,south,19.61
2231,17,female,1.0,54,yes,high school,east,21.07
153,15,female,2.0,68,yes,none,south,0.34
4167,18,male,1.4,82,no,high school,east,1.41
3867,18,female,1.6,59,yes,master,west,13.74
3774,16,female,1.4,93,no,high school,north,35.85
1996,18,male,1.9,67,yes,none,west,7.78
1252,17,female,1.0,57,no,none,south,0.0
348,16,female,4.2,56,no,none,south,0.0
2381,16,male,0.2,68,yes,master,west,6.38
367,18,female,0.6,91,no,none,south,0.0
4138,17,female,0.6,63,no,none,east,0.0
3524,16,male,1.1,95,no,none,south,0.0
221,18,male,1.4,67,no,none,south,0.0
4000,16,female,4.5,93,yes,none,south,8.86
1129,16,male,0.3,98,yes,high school,south,0.0
4060,15,male,1.9,60,no,high school,south,2.23
2399,15,male,1.1,80,no,bachelor,east,13.57
2043,17,male,0.4,80,no,master,east,11.79
3477,15,male,7.6,93,yes,high school,north,20.86
2995,15,male,6.8,54,yes,bachelor,south,16.56
3342,15,female,0.5,82,no,master,south,24.22
1821,17,male,0.3,88,no,high school,east,1.52
89,15,male,1.8,60,yes,none,west,2.91
284,15,female,9.2,90,yes,none,south,26.3
557,15,male,1.6,58,no,none,east,1.5
2945,18,female,0.6,91,yes,high school,south,1.96
374,16,male,4.7,82,yes,high school,east,9.92
2976,16,male,0.9,95,no,high school,south,8.0
1775,18,male,1.8,56,yes,bachelor,south,1.13
2149,16,male,7.2,84,no,high school,east,21.27
271,17,female,9.7,61,no,high school,south,12.55
2344,17,female,0.2,53,no,none,west,0.0
1891,15,female,0.6,62,yes,none,south,0.0
1166,17,female,4.6,54,yes,none,north,19.8
1654,16,male,1.2,64,yes,high school,north,9.11
1670,15,female,4.1,80,no,none,south,2.64
15,16,female,0.2,86,yes,master,south,19.22
2677,15,male,4.4,52,no,high school,north,21.82
2779,17,male,5.3,83,no,high school,west,11.92
3874,17,male,2.9,95,no,bachelor,east,22.53
962,17,male,0.9,93,no,bachelor,north,11.5
4219,18,female,0.3,84,no,none,east,1.19
3794,15,female,3.6,92,no,high school,north,48.48
2724,18,male,5.6,95,no,none,south,7.83
2529,17,female,3.1,61,yes,none,west,0.0
2817,17,male,0.6,99,no,high school,south,3.68
1745,15,male,0.9,82,yes,high school,east,9.56
579,15,female,1.2,63,no,none,south,0.0
4075,17,male,6.3,96,yes,bachelor,east,29.51
735,18,male,0.7,58,yes,none,south,0.0
1657,17,male,9.0,93,yes,high school,north,25.19
493,15,male,1.0,92,no,bachelor,south,0.22
1486,17,male,1.5,65,no,high school,south,5.77
3833,17,female,2.0,94,yes,none,south,0.0
2478,16,male,8.6,52,yes,high school,south,23.4
722,17,male,1.6,57,no,high school,south,0.85
3834,16,female,4.7,58,no,none,north,13.17
2558,15,male,3.2,55,no,high school,east,21.99
1346,18,female,0.5,50,yes,high school,south,0.0
2719,18,male,1.9,97,yes,high school,south,4.44
3641,15,female,2.8,94,yes,high school,south,5.32
3516,17,male,0.3,62,yes,bachelor,east,11.6
2320,15,female,0.2,54,no,high school,south,0.0
1473,17,female,2.4,85,no,none,south,1.29
2686,17,male,1.5,90,yes,none,east,9.29
1549,17,female,1.0,58,yes,none,north,0.27
3312,17,male,3.8,96,no,none,east,5.21
1325,16,female,4.3,59,yes,high school,south,14.86
1915,16,male,1.9,81,no,none,south,0.0
3839,17,male,1.8,88,yes,high school,south,8.16
861,16,female,1.6,81,yes,bachelor,south,9.42
4013,17,male,3.8,90,yes,bachelor,east,15.67
1281,16,male,1.5,90,no,bachelor,south,11.02
1834,17,male,9.9,59,yes,none,south,48.98
2106,18,female,0.7,82,no,none,south,0.0
554,18,male,0.6,65,yes,high school,east,0.0
3304,18,male,1.6,55,no,none,east,1.73
1876,16,male,1.9,66,no,high school,south,3.84
1244,15,female,0.6,53,yes,high school,north,9.06
1596,18,male,1.3,80,yes,master,south,13.17
556,15,female,5.0,81,no,master,south,44.55
3136,15,male,0.4,93,no,none,south,0.0
3336,17,male,1.2,86,no,high school,south,0.0
2276,15,female,9.2,87,no,bachelor,north,70.84
990,18,female,2.9,95,no,none,east,6.04
585,15,female,1.2,54,no,master,south,11.1
2875,15,female,0.6,96,no,none,west,0.0
1988,18,female,4.3,83,yes,high school,south,11.43
1993,17,female,4.9,91,no,high school,south,0.0
4075,17,male,6.3,96,yes,bachelor,east,29.51
2952,15,female,3.6,55,yes,master,south,8.87
3469,18,male,0.7,81,yes,high school,north,28.82
732,18,male,0.6,65,no,none,north,0.0
2996,18,female,0.8,99,yes,high school,south,9.98
861,16,female,1.6,81,yes,bachelor,south,9.42
3233,18,male,2.5,88,no,high school,south,10.42
3748,17,male,3.9,52,yes,none,east,8.3
4100,16,female,1.0,50,yes,none,east,0.0
3752,16,female,0.2,80,yes,bachelor,west,1.48
3879,16,female,0.4,95,yes,none,south,6.28
224,15,male,2.0,96,no,high school,south,0.0
4068,18,female,0.8,98,no,none,north,0.0
1124,16,female,1.9,65,yes,none,south,0.0
1702,17,male,0.2,62,no,bachelor,west,0.0
188,16,female,2.7,54,yes,high school,east,6.49
589,18,male,2.1,81,yes,high school,south,30.58
3125,18,female,1.1,60,no,high school,north,11.29
4173,15,female,0.3,93,no,high school,east,0.0
735,18,male,0.7,58,yes,none,south,0.0
3094,18,female,3.6,81,yes,none,east,42.04
635,16,male,1.1,61,yes,bachelor,north,13.61
469,17,female,0.9,59,no,none,north,0.0
2532,17,female,0.5,55,no,bachelor,north,8.47
1995,18,male,1.0,89,yes,high school,south,0.0
1112,17,male,2.8,92,no,none,east,0.9
597,18,female,9.1,66,no,bachelor,east,19.28
3686,15,female,4.8,59,yes,none,east,6.42
3985,17,male,1.2,50,yes,high school,south,4.74
3475,17,female,0.9,80,no,bachelor,south,0.0
1499,18,male,1.8,60,no,none,south,0.0
2071,17,female,1.2,88,yes,bachelor,south,3.31
1565,16,female,0.2,90,no,none,south,0.0
3272,16,male,2.8,67,no,none,east,0.0
3183,15,male,1.1,52,no,bachelor,east,7.79
347,17,female,0.5,65,no,none,south,0.0
2295,17,female,1.0,90,no,none,south,0.0
2126,18,female,1.7,89,no,none,west,0.0
1632,15,female,0.3,53,yes,none,east,0.0
3926,18,female,9.6,91,yes,high school,south,61.08
584,18,female,0.2,55,yes,high school,east,4.31
476,17,female,2.6,83,no,none,east,0.0
2593,15,male,0.7,85,no,none,south,0.0
67,18,female,1.0,86,yes,bachelor,south,5.6
2473,16,male,2.5,92,no,high school,south,4.37
3269,15,male,0.8,62,yes,bachelor,south,27.35
4125,16,female,4.0,99,no,bachelor,north,16.73
200,18,male,8.5,60,yes,bachelor,south,25.25
3689,16,female,2.9,50,yes,high school,north,9.4
2581,15,male,1.2,97,yes,high school,south,8.28
4211,18,female,1.4,62,no,high school,north,9.06
753,17,male,1.2,67,yes,high school,east,1.2
2480,16,male,1.7,83,yes,bachelor,south,6.25
1545,18,male,5.7,62,no,none,south,0.0
1934,18,female,4.5,96,yes,high school,south,36.37
39,17,male,1.4,66,no,bachelor,east,2.79
2510,15,male,0.7,54,yes,high school,north,22.43
1282,16,female,1.6,97,yes,bachelor,south,11.78
1364,18,female,3.2,97,no,high school,south,2.65
1619,15,female,0.1,87,yes,none,south,21.2
2634,18,male,3.3,64,no,high school,south,13.95
919,15,male,0.9,53,yes,none,south,0.0
2087,15,male,1.4,94,yes,none,west,6.33
3235,17,male,4.7,92,yes,none,north,40.31
631,18,female,2.5,89,yes,bachelor,west,46.38
3725,16,male,8.9,94,no,bachelor,north,33.9
3199,15,male,1.7,63,no,high school,south,0.0
2909,18,female,1.2,85,no,none,north,0.0
682,15,male,0.6,57,no,none,south,0.0
171,16,female,1.8,63,no,master,east,12.99
137,15,female,0.3,55,yes,none,east,0.0
3171,15,female,1.7,88,no,high school,north,8.38
3099,16,male,1.3,61,no,none,south,0.0
4096,15,male,0.2,68,yes,high school,south,0.0
2053,15,male,1.0,83,yes,high school,south,0.0
2342,17,male,2.6,98,yes,high school,east,19.45
1155,17,female,1.7,68,yes,master,north,16.53
3248,16,male,2.9,64,no,none,east,6.31
3188,18,male,2.7,80,no,high school,north,3.9
3029,15,male,0.2,84,yes,none,west,1.5
2307,17,male,0.2,82,no,high school,south,0.0
3728,15,female,9.2,82,yes,high school,south,26.26
246,17,female,5.0,99,no,bachelor,south,10.88
3690,17,male,1.5,98,yes,bachelor,south,9.99
3445,16,male,0.6,56,yes,none,west,0.0
900,16,female,0.9,81,yes,master,east,12.56
1506,16,female,0.6,94,yes,high school,south,5.08
634,15,male,1.2,58,no,bachelor,north,35.0
905,18,female,7.9,67,yes,high school,north,23.68
46,17,male,0.7,53,yes,none,south,0.0
3114,15,female,1.2,67,no,high school,south,1.68
380,18,male,1.7,66,no,high school,east,12.08
4,17,female,7.1,93,yes,bachelor,south,21.11
373,17,male,3.7,96,yes,bachelor,south,34.25
3341,17,male,0.7,57,no,high school,east,1.78
1939,15,female,7.2,97,no,none,south,21.24
1954,17,female,2.1,85,no,high school,south,10.91
570,17,male,1.7,88,yes,high school,north,16.5
1882,15,male,4.7,93,yes,none,south,6.94
3181,18,female,6.4,86,no,high school,north,16.4
3565,15,female,1.1,51,no,none,west,0.0
280,18,male,1.6,82,no,high school,south,0.0
369,18,female,0.8,68,yes,master,east,9.38
688,17,female,1.6,81,no,bachelor,north,14.33
1079,18,male,1.0,80,yes,high school,east,7.8
582,18,female,0.6,84,no,none,south,0.0
1073,18,female,7.2,91,yes,high school,west,18.89
1893,18,male,2.9,52,yes,high school,west,3.84
1852,15,male,0.4,93,no,high school,south,0.0
3325,16,male,0.2,83,no,high school,south,0.0
4088,15,female,2.8,85,yes,high school,south,3.64
3260,18,male,1.9,94,no,none,east,0.0
461,15,female,1.4,98,no,high school,east,21.31
3771,16,female,4.8,67,no,bachelor,south,11.02
1260,15,male,0.5,53,no,none,south,0.0
3474,18,male,2.8,87,no,high school,south,0.0
1666,18,male,1.1,94,no,high school,south,0.0
3600,15,female,0.3,51,no,none,south,0.0
1640,16,female,4.3,67,yes,none,south,0.94
3790,18,female,1.5,94,yes,none,south,0.0
3038,17,female,2.6,94,no,high school,south,15.58
4172,16,female,0.2,58,no,high school,east,2.3
2279,18,male,0.8,66,no,high school,east,3.25
84,17,male,0.3,56,yes,high school,east,5.14
2443,17,female,3.0,98,no,bachelor,south,9.89
489,18,male,7.2,82,no,bachelor,south,32.22
1643,15,female,1.4,63,no,high school,south,0.0
3459,17,female,1.4,87,no,none,south,0.0
365,15,male,3.4,98,no,high school,south,0.0
3277,15,female,0.1,96,yes,none,north,9.6
1381,16,female,3.9,99,yes,high school,north,50.89
1728,17,female,5.0,96,no,high school,east,18.83
1595,17,female,2.5,83,yes,high school,west,11.99
3651,16,female,3.4,53,no,master,south,13.6
304,18,female,1.2,65,no,none,south,0.0
4182,15,female,0.3,66,yes,none,south,0.0
414,17,female,1.0,91,yes,high school,east,13.11
2241,17,male,1.7,50,no,none,south,0.0
2105,17,female,1.6,92,no,bachelor,south,0.0
3309,18,male,1.9,86,yes,high school,west,10.78
3559,16,female,0.8,82,yes,none,north,4.14
3829,16,female,3.0,55,no,high school,east,16.17
4223,18,female,1.9,55,no,master,south,25.7
1373,18,male,0.4,65,no,none,south,0.0
1071,17,female,5.9,68,no,high school,north,56.67
613,15,female,0.9,90,no,high school,east,3.74
3293,18,female,2.4,81,no,high school,north,4.8
598,17,female,4.3,99,yes,none,south,9.75
561,17,female,0.8,84,yes,bachelor,west,43.1
1818,15,male,8.9,64,yes,bachelor,east,100.0
3458,17,female,1.8,88,no,high school,south,10.12
3478,15,female,1.1,82,no,high school,east,8.04
4071,15,female,0.7,60,yes,high school,west,3.18
3079,18,female,1.5,86,no,bachelor,east,37.55
1572,18,male,1.0,97,no,none,south,1.1
2769,17,male,0.2,55,yes,master,east,16.09
1990,15,female,1.2,82,no,high school,south,4.34
2845,15,male,6.8,63,no,none,east,10.7
1665,17,female,1.9,82,no,master,west,18.92
3193,17,male,1.2,80,no,master,north,17.68
2439,15,male,5.0,53,yes,high school,east,16.44
2475,15,male,4.1,81,no,none,east,29.24
2684,18,male,2.1,67,yes,high school,north,10.7
324,15,female,3.1,63,yes,high school,east,30.32
496,15,female,2.4,94,no,high school,south,1.87
2419,15,male,9.5,99,no,high school,south,16.41
14,15,female,0.2,80,yes,none,west,0.0
2597,17,male,0.6,81,yes,high school,east,13.19
3045,16,female,0.2,64,no,none,south,0.0
4025,17,female,2.4,86,yes,none,south,29.32
4094,16,male,1.4,61,no,high school,east,11.39
2400,17,female,5.9,93,no,bachelor,east,21.27
1308,18,male,0.8,54,no,none,east,0.0
3295,15,female,8.3,68,no,none,east,29.34
41,17,male,3.2,80,no,bachelor,east,6.74
3080,15,male,4.1,56,yes,none,south,14.29
1394,16,female,5.0,94,no,high school,north,51.12
4221,18,female,0.2,89,no,none,west,0.0
419,18,female,2.0,82,yes,none,south,1.24
546,16,male,2.0,99,yes,high school,south,7.65
2690,16,female,1.8,96,yes,bachelor,east,18.46
2012,17,male,2.7,59,no,high school,south,0.86
3520,17,female,5.8,80,no,none,south,0.14
4000,16,female,4.5,93,yes,none,south,8.86
510,16,female,1.0,87,yes,high school,south,3.84
4100,16,female,1.0,50,yes,none,east,0.0
230,16,female,1.5,52,no,none,south,0.0
3737,17,female,0.1,87,no,high school,east,2.39
4003,18,female,1.6,59,yes,none,east,13.26
2000,16,male,3.3,53,no,high school,south,7.32
3394,16,female,0.7,84,no,none,north,0.0
2615,16,female,1.1,54,yes,bachelor,east,14.04
133,17,male,4.9,81,no,high school,south,4.07
2379,16,female,0.2,99,yes,none,east,3.94
2866,16,female,3.6,59,no,bachelor,east,24.87
1834,17,male,9.9,59,yes,none,south,48.98
390,18,female,7.3,80,yes,master,south,18.98
3587,16,male,2.0,56,no,bachelor,west,0.93
1157,16,male,1.8,95,yes,none,south,0.0
1043,18,female,0.5,84,no,bachelor,east,9.13
2979,18,male,0.6,62,yes,high school,west,1.43
1870,17,female,0.2,54,yes,bachelor,north,38.53
2908,16,male,2.6,54,yes,high school,east,11.94
