emp_score,emp_degree,emp_experience,emp_hours,emp_age
93.0,1,8,9.8,41
92.0,1,25,10.2,22
66.5,0,12,4.6,37
72.5,0,21,6.9,56
56.2,0,4,4.9,56
100.0,1,22,10.9,30
67.6,0,4,9.0,58
80.5,1,9,6.6,29
72.6,1,20,4.5,30
78.3,1,26,6.5,27
79.2,1,9,6.6,50
68.8,0,26,9.8,57
95.8,1,6,9.1,33
100.0,1,25,11.1,52
68.9,0,14,7.8,20
58.6,0,6,5.0,22
91.8,1,28,9.7,43
99.9,1,26,10.1,28
88.4,1,14,8.5,24
99.1,1,2,10.2,27
94.6,1,18,8.0,59
92.0,1,9,8.2,51
83.9,1,27,7.4,20
66.4,1,28,4.2,25
59.1,1,14,4.9,48
68.3,1,2,4.3,28
89.3,1,5,9.1,24
81.3,1,11,6.5,19
85.5,1,14,8.1,23
99.1,1,5,11.3,58
68.1,1,12,6.0,49
78.1,1,28,7.3,37
97.6,1,18,10.0,51
74.4,0,2,5.8,33
70.3,1,7,4.6,42
68.0,0,7,6.3,29
78.6,1,22,5.3,24
97.4,1,25,11.4,56
98.9,1,19,10.5,34
87.1,1,14,9.1,28
100.0,1,3,11.0,23
97.7,1,18,10.4,40
76.2,1,20,5.5,44
96.2,1,2,11.1,23
71.8,0,12,8.3,55
80.9,0,7,10.5,19
95.2,1,22,11.2,39
77.7,1,15,6.5,37
66.0,0,12,4.9,42
69.8,0,2,5.8,32
64.6,0,15,7.4,46
83.3,1,8,10.5,25
100.0,1,27,10.9,54
72.1,1,13,4.1,50
59.4,0,12,8.1,39
80.0,1,20,7.3,22
73.6,0,24,5.8,56
72.2,0,6,5.0,35
84.8,1,14,6.7,55
70.7,0,6,11.5,54
67.0,0,5,6.6,47
67.5,0,1,8.2,48
75.3,0,8,9.6,27
62.5,0,21,6.9,32
99.0,1,23,11.8,59
100.0,1,16,11.7,35
76.8,1,4,6.0,40
92.8,1,11,8.0,50
63.0,0,0,6.4,33
78.0,1,9,6.3,55
64.7,1,10,4.3,52
68.9,0,15,8.9,51
78.7,1,13,8.0,45
62.0,0,7,4.4,19
70.9,1,23,6.2,47
100.0,1,16,11.3,30
80.2,1,24,5.9,58
64.6,1,17,5.2,33
92.3,1,11,7.9,22
100.0,1,24,11.9,45
66.2,0,16,5.9,56
66.2,0,27,9.4,37
100.0,1,25,10.1,41
70.0,1,13,5.9,44
94.3,1,15,9.8,47
82.1,1,13,6.9,44
97.5,1,8,9.1,43
92.6,1,3,9.1,24
65.8,0,24,8.3,59
66.5,1,22,4.7,55
96.4,1,10,10.7,22
74.5,1,5,6.6,40
65.7,0,14,5.5,45
66.6,1,4,4.3,51
61.3,0,10,8.7,32
75.7,0,24,9.4,49
61.6,0,17,4.1,43
80.1,1,29,8.1,48
75.3,1,12,5.8,36
69.5,0,10,9.2,26
65.5,1,13,5.4,46
94.5,1,27,9.5,56
76.7,1,17,7.1,21
80.0,0,26,11.5,20
75.6,1,27,5.1,46
78.3,1,30,6.7,28
61.2,0,24,4.9,50
70.9,0,27,11.4,55
100.0,1,18,11.0,28
77.2,1,23,6.1,44
90.7,1,26,9.3,50
97.7,1,14,10.5,38
85.0,1,8,8.4,56
85.4,1,7,8.2,48
55.5,0,19,5.9,55
76.2,1,27,4.7,19
100.0,1,0,11.2,44
96.5,1,3,11.2,53
100.0,1,13,9.1,28
80.6,1,24,6.7,35
61.6,0,1,6.8,18
98.4,1,15,9.8,52
73.2,0,2,11.2,52
100.0,1,25,11.1,48
68.1,0,7,10.2,45
71.4,0,5,9.1,56
69.7,1,15,4.7,18
68.1,0,23,5.3,42
90.8,1,15,11.2,60
87.7,1,6,8.9,55
72.7,0,29,4.1,37
61.0,0,12,4.8,20
88.9,1,12,9.3,19
65.9,1,4,4.0,35
67.7,1,24,5.3,27
76.7,1,19,8.4,22
91.8,1,21,9.5,26
92.1,1,17,9.2,19
75.8,1,14,5.8,51
92.9,1,17,9.7,55
66.1,0,1,5.9,48
71.7,0,9,6.6,27
93.9,1,22,10.0,29
88.5,1,12,9.2,53
97.2,1,17,10.8,38
94.6,1,14,9.3,23
95.5,1,30,8.5,20
68.2,1,11,4.7,27
81.7,1,14,6.9,22
79.2,1,12,6.1,43
71.8,1,17,6.0,38
100.0,1,14,11.8,43
74.8,1,24,7.1,55
91.3,1,22,11.1,43
92.6,1,10,9.0,25
94.7,1,18,10.4,22
69.0,0,2,8.0,32
88.7,1,6,8.6,33
63.1,0,20,7.9,18
74.8,1,25,5.6,33
87.8,1,13,9.8,54
73.2,0,13,6.2,20
57.4,0,21,4.2,48
90.3,1,12,9.2,30
69.2,1,11,5.4,33
100.0,1,23,11.5,60
70.0,0,8,11.6,38
98.3,1,0,11.3,19
85.6,1,18,7.0,44
68.7,1,10,4.1,55
100.0,1,22,11.4,43
78.5,1,21,7.4,55
64.7,0,22,11.7,42
100.0,1,23,11.7,28
97.1,1,21,10.8,25
81.7,1,18,6.4,25
66.7,0,17,7.1,50
99.7,1,11,10.8,24
58.4,0,22,6.5,55
83.5,1,27,5.4,38
87.2,1,27,8.5,25
100.0,1,27,11.5,38
65.4,0,26,9.6,37
70.1,0,0,8.6,25
65.0,1,18,4.8,48
71.2,0,27,8.9,46
70.1,0,26,11.9,26
73.2,1,19,5.1,32
90.1,1,28,8.1,47
64.9,0,29,11.0,43
91.2,1,16,9.9,27
71.9,0,4,9.6,46
100.0,1,25,9.6,33
80.3,1,2,6.9,53
81.5,1,1,6.3,37
96.6,1,30,10.5,54
100.0,1,2,10.5,39
90.5,1,7,10.9,24
71.8,0,15,11.3,40
78.3,1,5,8.1,58
73.5,1,12,8.0,57
98.2,1,29,10.4,46
92.1,1,22,9.2,33
91.8,1,27,9.6,55
69.8,0,21,10.4,45
100.0,1,21,11.1,55
78.9,1,15,6.7,48
84.1,1,27,7.0,31
68.1,1,15,4.8,50
90.3,1,2,8.6,26
63.1,0,27,4.3,44
65.7,0,12,7.7,41
77.4,0,13,8.3,30
72.2,0,7,6.3,43
90.0,1,11,8.7,46
52.7,0,22,4.2,60
67.5,1,22,4.3,45
100.0,1,21,10.6,45
79.8,1,20,6.9,25
78.1,1,25,5.0,40
75.4,0,7,8.2,46
96.8,1,20,10.2,22
71.6,1,24,5.7,59
78.2,1,8,9.0,24
74.5,1,0,4.7,59
65.8,1,5,4.4,53
88.0,1,22,8.3,58
81.2,1,18,8.3,44
89.6,1,22,9.1,19
94.3,1,10,9.8,42
73.1,0,10,11.8,26
81.0,1,22,8.1,44
72.6,0,29,6.6,18
93.6,1,12,10.4,40
69.4,1,10,6.2,27
67.0,0,17,7.5,59
71.0,1,22,4.6,42
69.7,1,14,4.2,20
100.0,1,0,11.7,23
96.9,1,20,10.7,23
92.5,1,24,9.6,19
61.8,0,6,7.3,35
78.3,1,22,5.4,40
66.2,0,26,5.3,19
74.9,1,12,6.0,29
58.9,0,11,8.4,39
100.0,1,17,9.7,54
85.6,1,23,9.3,37
63.3,0,18,6.2,56
100.0,1,14,11.6,41
88.6,1,7,9.9,37
80.5,1,18,8.4,18
79.4,1,9,8.9,18
86.7,1,6,7.4,34
74.2,1,17,6.0,18
81.5,0,15,6.8,47
65.1,0,19,10.1,58
63.9,1,26,4.1,20
69.4,1,5,4.9,28
70.9,1,26,4.4,41
67.1,1,8,4.3,39
100.0,1,20,10.8,43
88.4,1,12,9.6,30
78.2,1,24,7.8,18
62.5,1,30,4.8,41
74.6,1,20,7.9,27
82.5,1,25,7.8,52
72.7,1,7,5.4,41
80.5,1,15,7.5,45
73.4,0,12,7.2,53
75.1,0,12,8.9,33
89.2,1,16,9.1,57
60.7,1,22,4.4,33
78.7,1,19,7.0,34
87.5,1,4,9.0,32
64.7,0,21,8.0,33
95.3,1,20,10.9,32
88.4,1,27,9.3,51
71.9,1,16,5.3,28
67.4,1,27,4.6,18
92.2,1,8,9.1,32
66.0,0,1,4.2,43
84.5,1,24,8.7,21
100.0,1,25,11.5,60
83.8,1,17,8.6,22
73.9,1,8,7.1,52
71.1,0,5,9.1,30
63.6,0,10,7.7,27
89.2,1,24,8.4,28
89.9,1,28,11.5,35
74.1,0,5,7.1,51
75.1,0,5,11.7,56
93.1,1,12,11.2,58
58.2,0,10,5.6,59
78.9,1,13,4.6,40
67.9,1,1,4.8,24
64.5,1,7,4.1,56
53.4,0,2,4.8,20
67.7,0,22,9.5,29
69.4,1,20,4.6,24
83.1,1,2,6.6,43
91.4,1,0,10.8,50
56.6,0,23,4.2,54
99.6,1,18,10.5,32
83.2,1,17,6.3,19
64.4,1,16,4.9,58
98.5,1,19,9.6,24
90.8,1,28,9.0,49
100.0,1,23,11.0,21
69.5,0,12,9.9,37
84.3,1,2,10.4,53
65.5,0,29,6.3,49
79.7,1,0,5.4,45
90.6,1,3,10.0,30
68.5,0,24,10.5,18
100.0,1,12,11.9,52
52.8,0,16,7.3,47
89.7,1,27,7.0,53
91.4,1,29,10.2,42
69.3,0,10,6.7,33
100.0,1,1,11.4,36
100.0,1,24,10.9,18
69.5,0,15,7.4,22
68.8,0,1,10.0,39
90.7,1,28,10.0,41
75.7,1,18,4.8,60
91.1,1,22,11.2,54
71.3,0,18,8.0,53
65.1,0,24,10.6,53
85.8,1,15,6.6,21
72.0,0,21,11.2,53
70.3,0,18,7.1,35
64.5,0,8,4.1,33
91.8,1,0,11.2,58
67.0,1,9,4.7,35
82.9,1,18,6.6,39
100.0,1,0,11.6,19
100.0,1,1,11.6,38
90.7,1,15,8.6,53
64.2,0,11,9.1,56
80.2,1,7,7.6,56
79.1,1,22,6.3,46
68.3,1,17,6.6,43
100.0,1,1,9.4,38
97.3,1,24,10.0,34
76.5,0,28,10.3,33
88.5,1,12,10.3,48
77.5,1,5,4.7,26
97.0,1,20,8.0,48
63.5,1,25,4.5,31
91.6,1,5,8.4,54
67.5,0,8,7.5,19
92.2,1,15,11.1,31
69.3,0,10,6.8,50
76.4,1,6,4.9,52
70.1,1,30,5.1,56
100.0,1,9,10.1,37
81.9,1,9,8.9,19
64.2,1,29,4.8,58
65.4,0,24,4.7,36
93.4,1,19,9.6,54
61.0,0,17,4.6,35
100.0,1,27,10.6,33
72.3,0,23,9.6,21
68.9,0,19,4.7,29
70.4,1,28,4.7,46
74.9,0,8,11.9,24
79.2,1,30,7.0,31
91.6,1,14,7.0,29
66.4,0,3,10.5,52
100.0,1,30,11.6,22
72.1,0,7,11.9,34
63.1,0,8,10.0,59
88.4,1,12,7.0,49
65.3,0,8,4.7,27
100.0,1,25,10.2,60
74.6,0,3,8.5,34
69.1,0,16,7.4,22
97.7,1,15,11.3,59
76.9,1,14,4.9,26
67.9,0,2,7.9,50
71.8,1,24,4.1,53
57.0,0,19,7.7,53
72.3,1,4,4.5,35
69.1,1,22,5.0,26
80.5,1,4,4.9,46
94.5,1,19,9.2,31
96.1,1,14,10.0,42
91.4,1,17,8.7,32
97.6,1,14,11.7,23
89.6,1,1,7.0,59
76.2,0,28,6.3,46
100.0,1,12,10.9,32
84.0,1,3,5.8,46
99.8,1,9,11.7,21
64.5,1,12,4.1,35
100.0,1,9,11.8,56
66.5,0,28,4.3,33
69.2,0,30,11.1,28
89.7,1,8,8.2,31
100.0,1,7,11.9,20
65.7,1,2,4.6,59
90.5,1,15,8.4,55
100.0,1,30,11.8,59
87.7,1,13,8.2,35
74.8,0,8,9.0,37
63.5,0,29,9.6,42
86.7,1,20,7.6,55
84.7,1,10,9.0,30
63.1,0,2,8.7,21
97.3,1,4,11.2,31
64.9,1,28,4.4,50
75.4,1,9,6.2,45
100.0,1,12,11.6,54
100.0,1,3,11.1,25
66.0,0,23,7.6,51
82.4,1,12,9.0,22
83.7,1,11,6.2,22
61.3,0,4,5.5,48
84.4,1,9,7.7,26
83.0,1,27,6.8,59
90.0,1,23,8.7,49
76.3,1,8,4.6,50
74.2,0,19,11.8,20
99.2,1,6,11.9,47
100.0,1,1,9.6,29
88.3,1,21,8.3,46
65.7,0,23,6.5,20
100.0,1,27,10.5,43
93.9,1,22,9.5,47
67.3,0,6,5.3,26
83.7,0,7,11.3,43
96.2,1,6,10.6,19
100.0,1,20,11.6,20
94.7,1,22,9.8,21
95.4,1,28,8.9,42
75.5,1,13,7.3,30
91.8,1,25,11.5,56
68.0,0,18,10.9,52
61.5,1,4,4.4,40
62.1,0,22,4.2,26
84.1,1,30,7.0,19
66.0,0,24,10.5,58
64.8,0,30,11.9,48
73.8,1,17,5.2,19
73.1,0,19,8.8,49
73.2,1,11,7.0,35
75.9,0,22,11.8,30
100.0,1,16,10.7,22
100.0,1,12,10.7,59
73.8,0,1,7.7,27
78.3,0,24,7.3,60
76.1,1,12,6.2,42
70.6,1,25,4.5,51
97.0,1,6,10.9,54
97.3,1,27,10.5,47
100.0,1,9,12.0,24
65.2,0,22,12.0,23
83.7,1,5,8.4,20
100.0,1,2,10.2,30
100.0,1,25,11.6,20
96.8,1,2,10.8,43
81.2,1,17,6.0,41
85.9,1,10,7.6,23
80.2,1,21,5.0,60
100.0,1,19,11.6,59
95.0,1,4,8.8,29
79.0,0,18,5.8,53
72.4,0,21,9.4,19
90.5,1,26,8.9,28
84.5,1,27,6.9,56
63.1,0,18,4.9,51
81.3,0,29,9.4,43
69.1,0,14,8.2,35
68.8,0,29,10.2,38
82.5,1,15,8.2,53
100.0,1,23,10.8,57
92.2,1,8,8.4,39
85.7,1,3,8.5,47
73.9,0,14,11.0,60
59.7,0,24,7.2,47
73.7,1,11,5.1,25
71.3,1,22,4.2,51
100.0,1,2,10.0,26
65.1,0,22,9.0,37
87.0,1,13,9.6,57
71.2,1,16,5.7,42
66.2,1,18,5.1,36
75.2,1,5,4.1,22
88.4,1,3,6.8,28
70.3,0,6,8.7,32
73.2,0,29,7.1,25
68.2,0,18,7.5,36
70.8,0,16,11.2,40
78.9,1,24,6.8,44
85.0,1,15,8.1,57
88.5,1,14,10.3,49
68.5,0,21,7.2,43
90.2,1,7,9.0,44
100.0,1,18,10.9,36
100.0,1,7,11.6,59
72.5,1,17,5.2,46
97.0,1,27,11.4,56
86.1,1,15,7.9,58
69.8,0,19,6.1,50
78.8,1,18,7.7,36
72.3,0,9,11.8,54
69.1,0,16,7.9,36
63.0,0,30,6.6,50
87.9,1,12,9.1,33
77.8,1,12,5.9,40
65.1,1,6,4.6,24
66.8,0,26,5.0,43
68.1,1,9,5.0,49
78.8,1,1,5.2,29
84.7,1,3,5.1,25
86.8,1,24,9.1,22
68.1,0,5,5.5,59
76.8,1,23,6.8,45
100.0,1,17,11.2,22
61.5,0,22,7.8,43
94.4,1,5,9.3,22
69.8,1,28,5.4,39
73.9,1,29,5.5,32
59.2,0,24,4.3,30
69.5,0,22,5.4,45
62.0,0,16,6.2,50
77.1,1,13,5.4,60
69.5,1,23,4.7,40
64.4,0,10,5.0,50
85.3,1,25,7.7,60
71.6,1,30,5.7,35
68.0,0,18,6.9,47
93.8,1,29,8.0,43
89.0,1,1,9.5,33
70.2,0,27,4.3,30
77.9,0,2,10.4,56
86.5,1,10,9.0,50
63.7,1,5,4.7,43
100.0,1,28,11.0,18
98.4,1,13,11.4,55
73.8,0,18,4.5,19
66.4,0,25,6.2,23
93.0,1,15,10.4,55
64.3,0,20,10.0,59
70.9,0,21,5.5,41
72.7,1,23,5.7,35
81.6,1,6,7.0,44
90.2,1,29,7.9,58
87.8,1,26,8.9,25
66.7,0,7,7.0,45
84.6,1,18,7.7,27
73.4,0,19,10.0,34
72.3,1,15,4.3,46
76.0,1,21,6.0,23
94.0,1,26,9.7,31
98.4,1,6,11.2,39
79.0,1,8,8.1,23
69.5,0,12,8.3,43
81.3,1,0,4.9,56
79.7,1,28,7.6,29
64.4,0,30,8.3,52
72.4,1,7,5.9,31
81.3,1,23,6.2,39
69.3,0,21,7.0,40
67.9,1,3,4.2,24
75.0,1,2,6.6,57
76.1,1,26,5.7,42
72.0,1,2,6.6,30
73.0,1,21,5.0,38
100.0,1,12,11.1,58
83.1,1,7,8.7,27
61.8,0,6,9.4,26
100.0,1,26,10.3,32
82.9,1,0,8.0,19
70.4,0,26,4.7,42
86.6,1,15,8.3,30
88.3,1,5,8.7,51
72.2,0,6,10.0,51
79.1,1,11,7.5,52
73.3,1,22,5.0,55
76.3,1,8,6.3,20
60.3,0,26,6.9,59
70.9,0,10,9.2,23
87.2,1,9,8.6,36
80.0,1,20,6.8,20
65.8,0,0,11.9,35
97.8,1,17,8.8,56
70.3,0,30,5.9,26
76.5,1,3,4.8,29
72.0,1,4,5.2,22
68.2,1,8,6.0,20
75.1,0,26,5.3,28
74.4,1,30,5.5,47
62.5,0,16,6.3,21
76.3,1,2,5.4,22
100.0,1,15,11.2,18
64.5,0,4,4.6,44
74.6,0,15,8.2,45
88.2,1,2,7.3,46
98.0,1,19,11.9,35
68.7,1,14,4.9,29
72.0,0,29,7.2,30
89.3,1,2,11.8,58
98.4,1,19,10.9,19
90.3,1,13,10.5,54
74.9,1,30,6.1,33
72.7,1,15,5.4,41
90.3,1,28,9.3,52
98.7,1,28,11.4,39
82.6,1,30,8.5,53
100.0,1,30,8.6,28
75.6,0,16,6.2,46
89.9,1,27,10.2,52
82.6,1,23,5.5,32
77.7,1,19,6.6,48
68.0,0,22,7.4,59
67.7,0,17,8.1,58
73.4,1,17,5.9,60
69.8,0,21,4.9,33
90.6,1,13,8.9,27
63.9,0,17,6.3,49
62.1,0,14,8.6,19
60.8,0,14,5.2,41
59.6,0,5,7.8,40
87.2,1,26,8.3,19
58.4,0,14,4.4,55
78.8,1,17,6.7,48
79.7,1,3,5.1,57
76.3,1,22,4.5,43
100.0,1,7,11.9,46
79.2,1,14,6.6,20
100.0,1,2,10.5,31
68.6,0,29,6.0,42
90.9,1,14,9.5,18
88.2,1,12,10.1,20
91.4,1,8,8.8,43
89.1,1,1,7.8,35
79.7,1,23,7.3,26
82.0,1,7,6.8,55
99.6,1,28,11.4,40
97.0,1,29,10.6,38
59.3,0,19,11.7,18
71.4,1,16,5.0,38
74.7,0,12,9.8,44
98.6,1,0,11.5,59
74.8,1,1,5.4,23
60.8,0,29,4.5,53
71.7,0,14,9.9,45
67.5,0,11,8.6,34
93.6,1,13,10.7,57
79.7,1,24,5.1,20
100.0,1,28,10.4,29
72.2,1,1,5.6,56
76.4,1,17,5.3,29
76.6,1,21,5.3,19
100.0,1,6,10.5,39
83.5,1,28,9.3,40
91.9,1,22,8.2,47
64.0,0,30,6.9,22
97.8,1,28,11.0,26
95.3,1,24,7.1,38
72.0,0,5,10.5,28
81.9,1,13,7.5,22
56.0,0,7,7.0,52
74.7,0,26,7.7,44
72.1,1,21,6.4,19
65.0,0,1,10.0,41
84.4,1,16,8.0,48
83.4,1,4,5.9,50
75.1,0,13,11.2,56
81.0,1,24,7.1,47
69.9,0,23,8.3,54
68.2,0,29,11.3,45
69.7,0,28,9.0,48
65.3,0,19,4.9,28
76.4,0,20,11.5,40
95.4,1,28,9.0,19
82.5,1,20,6.7,57
63.3,0,21,5.1,58
100.0,1,2,10.4,44
89.9,1,4,9.0,52
81.8,1,15,8.3,19
98.2,1,17,11.2,56
70.7,0,25,10.3,54
78.0,1,16,5.2,38
78.3,1,10,6.5,22
70.9,1,16,6.0,38
70.2,0,15,10.0,46
69.8,1,25,4.3,37
89.4,1,22,8.6,55
100.0,1,1,10.1,37
100.0,1,3,11.0,42
77.3,1,20,6.7,19
94.5,1,6,10.6,49
66.8,1,1,4.9,43
100.0,1,29,10.8,23
72.3,0,5,5.0,58
80.7,1,16,7.2,20
95.5,1,6,10.4,50
72.5,0,24,5.2,18
78.8,1,4,5.8,22
96.2,1,4,9.8,30
88.0,1,19,9.8,36
72.5,0,15,9.1,29
64.9,0,18,9.6,42
81.9,1,8,8.3,52
64.3,0,4,6.0,29
77.5,1,7,6.8,47
73.4,1,8,5.5,22
64.1,0,4,11.3,51
93.8,1,9,8.7,39
88.1,1,24,7.2,56
74.9,1,1,7.7,30
100.0,1,8,11.6,20
69.5,1,10,5.2,37
93.4,1,3,8.7,48
85.9,1,21,8.0,22
90.2,1,21,8.9,41
67.7,1,21,4.1,57
100.0,1,1,11.0,50
95.4,1,22,11.5,25
91.4,1,28,8.5,41
75.1,0,5,9.6,37
100.0,1,26,11.4,33
81.3,0,13,9.7,29
70.8,1,0,5.2,30
93.5,1,17,8.6,59
89.3,1,6,8.9,56
89.4,1,0,7.4,42
94.5,1,30,9.9,49
99.7,1,0,11.5,41
100.0,1,0,11.4,26
81.8,1,23,7.6,57
65.0,1,3,4.9,40
100.0,1,3,11.9,30
73.8,0,28,10.7,49
79.4,1,17,5.0,32
100.0,1,26,11.4,53
100.0,1,10,11.0,22
61.4,0,26,8.2,39
87.1,1,0,8.7,33
65.7,0,27,7.2,58
69.4,1,9,4.4,27
80.5,1,8,6.7,41
100.0,1,22,10.4,35
61.8,0,3,4.0,35
80.7,1,27,6.7,24
82.1,1,5,7.2,21
82.7,1,29,8.3,43
100.0,1,15,11.4,22
66.1,0,1,6.8,33
79.7,1,22,6.8,52
94.7,1,17,9.9,43
84.7,1,9,7.6,35
63.6,0,23,5.8,46
90.7,1,23,7.6,40
67.2,1,16,5.1,31
70.7,1,12,5.4,32
81.9,0,23,8.0,50
77.9,1,17,7.4,42
64.5,0,21,11.3,38
70.6,0,12,6.9,34
58.3,0,16,8.6,40
89.6,1,4,9.1,60
79.2,1,10,4.1,34
84.2,1,6,9.3,31
55.5,0,28,5.4,46
95.1,1,9,11.7,37
77.8,1,16,5.2,47
88.6,1,14,7.3,36
68.5,1,17,4.7,56
75.4,0,22,12.0,30
93.0,1,21,8.0,35
77.7,0,18,8.8,40
69.2,1,29,4.5,50
58.5,0,25,10.0,56
61.6,0,1,5.7,57
98.2,1,25,11.2,35
74.1,1,3,5.6,26
73.9,1,2,5.5,50
74.9,1,6,4.3,49
91.4,1,23,7.8,34
67.7,0,17,8.5,36
75.9,1,9,4.5,44
72.0,0,6,10.2,23
84.6,1,7,7.6,52
91.4,1,5,8.2,54
84.2,1,21,7.5,51
77.5,0,25,7.2,37
81.0,1,0,8.5,42
71.0,1,3,5.2,21
73.9,1,13,5.5,27
100.0,1,16,10.9,27
100.0,1,19,11.6,41
66.9,0,17,7.0,38
70.6,1,10,6.2,28
95.4,1,28,9.2,44
71.0,0,20,7.3,33
54.5,0,25,4.2,43
65.2,0,13,5.2,47
85.8,1,8,9.7,33
88.4,1,26,9.3,24
59.7,0,14,4.2,33
80.0,1,11,5.8,52
66.4,0,9,5.8,33
85.8,1,18,9.4,57
68.6,0,23,4.2,29
64.6,1,18,4.8,52
98.4,1,5,10.4,38
70.4,1,19,5.4,60
89.7,1,23,9.2,53
79.1,1,26,5.9,34
74.2,1,5,4.8,49
72.6,0,7,5.9,58
69.4,0,0,9.8,23
100.0,1,21,10.8,41
68.5,0,16,10.6,44
68.1,0,16,7.2,37
94.2,1,23,9.3,42
74.9,1,14,5.6,19
69.5,1,6,6.3,26
72.8,0,18,11.2,45
65.9,0,21,4.1,55
67.7,1,30,4.7,20
59.2,0,24,5.7,37
71.6,0,22,4.2,23
77.0,1,27,5.5,56
87.8,1,2,8.7,50
77.5,1,29,7.4,18
67.0,0,29,11.1,54
77.1,0,28,10.5,23
81.0,1,21,6.7,51
63.3,0,10,6.1,32
84.2,1,19,7.0,43
85.2,1,29,8.7,31
85.2,1,28,6.1,24
97.2,1,18,9.0,48
64.9,0,8,7.3,41
84.7,1,9,8.4,48
70.6,1,1,7.5,46
71.2,1,0,6.4,59
64.9,0,30,11.6,49
70.8,0,29,10.1,34
71.4,1,15,5.1,31
92.5,1,17,10.9,57
84.1,1,22,7.9,53
73.7,0,25,11.2,41
99.4,1,16,10.4,44
73.8,1,5,7.4,42
68.2,1,13,4.2,49
70.8,1,22,6.1,35
72.8,0,24,8.3,35
94.7,1,14,9.1,54
61.6,0,13,6.1,43
69.2,1,23,5.1,26
95.8,1,21,10.7,52
92.2,1,2,11.9,25
88.6,1,23,8.2,37
64.0,0,22,5.4,59
82.7,1,18,6.2,39
63.2,1,24,4.1,36
68.2,0,11,11.3,47
57.4,0,1,4.9,45
83.7,1,2,8.6,52
60.3,0,17,6.2,60
92.9,1,28,8.4,28
88.0,1,0,9.2,48
98.5,1,19,10.6,56
63.7,0,20,5.7,53
62.0,1,28,4.1,47
72.1,1,5,5.1,40
74.2,0,4,11.2,36
93.4,1,0,11.0,29
93.6,1,18,8.8,32
85.4,1,0,8.8,48
66.9,0,26,9.3,60
77.0,1,20,5.4,54
68.0,0,20,11.3,54
67.5,0,15,7.4,32
80.2,1,11,7.1,46
87.3,1,26,8.2,60
52.5,0,28,4.4,43
56.2,0,21,5.3,19
73.0,0,7,9.9,37
69.8,0,25,4.7,32
64.3,0,15,8.8,21
64.7,0,27,6.0,39
83.5,1,0,7.1,55
81.9,1,3,6.3,40
70.7,1,9,6.8,43
89.5,1,10,9.8,28
64.7,0,16,6.4,45
91.9,1,24,8.5,19
97.6,1,26,7.8,25
90.8,1,22,9.3,46
94.7,1,6,11.5,28
96.4,1,11,9.9,54
82.3,1,20,5.7,35
64.8,0,6,4.2,31
72.9,1,11,6.1,27
94.2,1,14,8.8,52
73.2,1,1,4.4,26
80.7,1,13,8.0,52
70.7,0,12,8.8,28
85.0,1,3,6.7,29
100.0,1,13,10.2,20
71.5,1,13,4.9,56
68.9,1,15,4.6,31
76.0,0,6,9.8,45
79.8,1,18,8.0,28
95.0,1,1,9.5,56
76.8,1,9,7.5,42
82.2,1,17,6.0,38
96.2,1,28,10.6,27
100.0,1,16,10.4,60
72.0,0,4,9.6,32
71.7,1,11,6.2,36
96.4,1,5,8.7,39
88.8,1,21,6.9,38
75.7,1,8,4.7,49
